date,chain,alpha,bound_reduction_%,mu_reduction_%
2025-09-18,tezos,0.33,66.66,28.67
2025-09-19,avalanche,0.2,100.0,27.7
2025-09-19,celestia,0.2,69.62,23.67
2025-09-19,cosmoshub,0.2,94.74,28.15
2025-09-19,injective,0.2,46.1,21.83
2025-09-19,near,0.2,99.66,27.64
2025-09-19,osmosis,0.2,69.57,22.03
2025-09-19,sei,0.2,25.52,17.64
2025-09-19,solana,0.2,100.0,28.64
2025-09-19,sui,0.2,72.98,18.05
2025-09-19,tezos,0.2,99.1,29.01
2025-09-19,avalanche,0.25,100.0,27.54
2025-09-19,celestia,0.25,55.49,23.4
2025-09-19,cosmoshub,0.25,85.35,27.89
2025-09-19,injective,0.25,27.68,21.4
2025-09-19,near,0.25,95.65,27.44
2025-09-19,osmosis,0.25,59.58,21.63
2025-09-19,sei,0.25,13.9,17.24
2025-09-19,solana,0.25,100.0,28.44
2025-09-19,sui,0.25,53.54,17.43
2025-09-19,tezos,0.25,91.87,28.83
2025-09-19,avalanche,0.3,99.87,27.4
2025-09-19,celestia,0.3,30.39,22.58
2025-09-19,cosmoshub,0.3,68.34,27.67
2025-09-19,injective,0.3,11.3,21.04
2025-09-19,near,0.3,89.83,27.34
2025-09-19,osmosis,0.3,26.45,20.71
2025-09-19,sei,0.3,4.23,16.89
2025-09-19,solana,0.3,99.94,28.25
2025-09-19,sui,0.3,32.15,16.93
2025-09-19,tezos,0.3,67.51,28.68
2025-09-19,avalanche,0.33,98.59,27.32
2025-09-19,celestia,0.33,18.53,22.19
2025-09-19,cosmoshub,0.33,45.52,27.46
2025-09-19,injective,0.33,11.3,21.04
2025-09-19,near,0.33,64.84,27.11
2025-09-19,osmosis,0.33,15.43,20.44
2025-09-19,sei,0.33,4.23,16.89
2025-09-19,solana,0.33,98.98,28.12
2025-09-19,sui,0.33,17.15,16.65
2025-09-19,tezos,0.33,67.51,28.68
2025-09-20,avalanche,0.2,100.0,27.7
2025-09-20,celestia,0.2,80.66,24.14
2025-09-20,cosmoshub,0.2,94.72,28.15
2025-09-20,injective,0.2,45.93,21.86
2025-09-20,near,0.2,99.65,27.64
2025-09-20,osmosis,0.2,69.59,22.03
2025-09-20,sei,0.2,25.53,17.63
